编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
174,南钢,2016/8/4,09:46:06,内弧宽面Tv,稳态,0.056,2.068,0.7,-807.43,1.41,12.066,12.354,28,0.323,3.013,,
175,南钢,2016/8/4,09:46:11,内弧宽面Tv,稳态,0.169,-0.517,0.7,0.242,5.17,19.821,77.971,70,0.369,1.626,,
176,南钢,2016/8/4,09:46:17,内弧宽面Tv,误报,0.226,-1.551,0.7,-0.853,8.695,21.545,103.084,97,0.337,0.668,,
177,南钢,2016/8/4,09:46:20,内弧宽面Tv,稳态,0.169,-2.172,0.7,-2.812,4.935,3.447,14.379,43,0.305,0.137,,
178,南钢,2016/8/4,09:46:36,内弧宽面Tv,稳态,0.028,0,0.7,-1915.816,1.41,8.618,9.114,22,0.324,4.632,,
179,南钢,2016/8/5,17:34:23,外弧宽面Tv,稳态,0.226,-0.206,0.7,1.601,6.11,25.803,108.945,84,0.481,3.95,,
180,南钢,2016/8/5,17:34:30,外弧宽面Tv,稳态,0.226,0.413,0.7,0.315,12.455,86.87,630.625,295,0.476,0.444,,
181,南钢,2016/8/5,17:34:30,内弧宽面Tv,稳态,0.31,-0.413,0.7,1.62,8.695,41.285,282.367,140,0.538,1.318,,
182,南钢,2016/8/5,17:34:35,外弧宽面Tv,稳态,0.79,0.413,0.7,1.169,23.5,136.756,2492.183,494,0.605,0.53,,
183,南钢,2016/8/5,17:34:44,内弧宽面Tv,稳态,0.056,0,0.7,0.655,6.345,33.544,161.295,102,0.452,1.027,,
